价格,价格1,名称_链接,名称,skcolor_ljg,promowords,pcommit,店铺_链接,店铺,关键词
118,118,https://item.jd.com/10035183375116.html,ROYCE' 若翼族 生巧克力制品礼盒装日本北海道进口巧克力送男女朋友生日礼物伴手礼糖果顺丰全程冷链 淡可可味 125g 【20枚/盒】,巧克力,,2万+条评价,https://mall.jd.com/index-11421578.html?from=pc,ROYCE'旗舰店,跨店每满299-50
33.6,33.6,https://item.jd.com/100018136345.html,松尾什锦夹心巧克力163.9g （tyoro）盒装 日本原装进口  情人节节日礼物年货糖果结婚喜糖零食 1号会员店,巧克力,"【1号会员店·京东旗下会员制精选超市】买手精选全自营,全年低价无套路,每月再送一箱可生食鸡蛋",2000+条评价,https://mall.jd.com/index-1000343263.html?from=pc,1号会员店,"自营
								放心购
								券299-30"
81,81,https://item.jd.com/100034636501.html,歌帝梵(GODIVA)醇享系列90%可可黑巧克力制品 80g 进口黑巧克力糖果 纯可可脂制作 办公室加班零食,巧克力,"【限时折上折】部分产品129打9折，169打8折!! 【入会有礼】入会得100积分,单笔实付299赠20元E卡 【实付满赠】会员专享下单即赠300京豆!速戳》",2万+条评价,https://mall.jd.com/index-1000395803.html?from=pc,歌帝梵（Godiva）臻享京东自营旗舰店,自营
120,120,https://item.jd.com/100008212807.html,Kinder健达牛奶巧克力制品  儿童休闲食品 零食 国庆节礼物  8条小箱装 T8*10 1000g,巧克力,"【费列罗健达巧克力*双11全球热爱季】10月20日20点火热开启，定金抢先付，尾款享立减！超值优惠享不停！加入会员领券且可抽超值大奖,点击查看更多优惠进入",50万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,自营
48.9,48.9,https://item.jd.com/100005229910.html,德芙（Dove）丝滑牛奶巧克力4.5g 代言人同款 婚庆喜糖节日礼物 500g,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,20万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
99.9,99.9,https://item.jd.com/317655.html,费列罗(FERRERO)榛果威化糖果巧克力制品 员工福利婚庆喜糖零食伴手礼 团聚节日礼物 30粒375g,巧克力,"【费列罗健达巧克力*双11全球热爱季】10月20日20点火热开启，定金抢先付，尾款享立减！超值优惠享不停！加入会员领券且可抽超值大奖,点击查看更多优惠进入",200万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"自营
								赠"
39.5,39.5,https://item.jd.com/100013499308.html,Kinder健达儿童牛奶夹心巧克力制品 儿童零食成人零食  节日礼物亲友团聚休闲食品 20条装（量贩装)250g,巧克力,,50万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,自营
17.5,17.5,https://item.jd.com/100039440622.html,德芙(Dove)牛奶巧克力小碗装112g办公室零食休闲零食礼品礼物,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,20万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
18.8,18.8,https://item.jd.com/730619.html,Kinder健达缤纷乐牛奶榛果威化巧克力制品 进口成长零食 节日礼物休闲食品 3包6条装129g,巧克力,"【费列罗健达巧克力*双11全球热爱季】10月20日20点火热开启，定金抢先付，尾款享立减！超值优惠享不停！加入会员领券且可抽超值大奖,点击查看更多优惠进入",20万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"自营
								2件9.5折"
69.8,69.8,https://item.jd.com/100033791553.html,爱普诗（Alpes d'Or）比利时进口精选夹心巧克力礼盒108g 送女友生日礼物夹心巧克力礼盒伴手礼 万圣节,巧克力,爱普诗（Alpes d'Or）比利时进口精选夹心巧克力礼盒108g 送女友生日礼物夹心巧克力礼盒伴手礼 万圣节,20万+条评价,https://mall.jd.com/index-1000303482.html?from=pc,爱普诗（Alpes d'Or）京东自营旗舰店,"自营
								新品
								2件9折"
139.9,139.9,https://item.jd.com/5595762.html,瑞士莲（Lindt）软心精选巧克力乐享装500g家人朋友聚会手礼,巧克力,意大利进口，600g软心精选量贩装，5种口味随心享，品味颗颗幼滑软心，(此商品不参加上述活动),20万+条评价,https://mall.jd.com/index-1000081022.html?from=pc,瑞士莲京东自营旗舰店,"自营
								品质溯源"
69,69,https://item.jd.com/1950434.html,瑞士莲（Lindt）意大利进口 软心牛奶巧克力分享装200g 婚庆喜糖零食伴手礼,巧克力,意大利进口，600g软心精选量贩装，5种口味随心享，品味颗颗幼滑软心，(此商品不参加上述活动),20万+条评价,https://mall.jd.com/index-1000081022.html?from=pc,瑞士莲京东自营旗舰店,"自营
								定期
								品质溯源
								2件9折"
399,399,https://item.jd.com/100032537582.html,歌帝梵GODIVA比利时进口夹心巧克力金装25枚万圣节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,巧克力,,2万+条评价,https://mall.jd.com/index-1000351986.html?from=pc,GODIVA/歌帝梵京东自营专区,自营
31.9,31.9,https://item.jd.com/100035179120.html,德芙(Dove)黑巧克力碗装234g办公室零休闲零食生日礼物婚庆喜糖,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,20万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
109,109,https://item.jd.com/10061512599179.html,瑞士莲（lindt） 进口黑巧克力Lindor混合5口味软心结婚万圣节喜糖果婚庆圣诞节生日礼物送女生 600g精选5口味装,巧克力,礼遇婚礼季！瑞士莲5口味精选【京东8仓发货，下单立减5元】费列罗48粒装【下单立减12元】【日期新鲜，破损包赔】更多优惠点击,200+条评价,https://mall.jd.com/index-10590161.html?from=pc,小七食品专营店,"京东物流
								跨店每满299-50
								闪购
								券99-10
								每满199-20"
29.5,29.5,https://item.jd.com/988552.html,M&M'S 妙趣畅享牛奶巧克力豆 270g桶装  休闲零食糖果礼物礼品（新旧包装随机发放）,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,50万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
109,109,https://item.jd.com/64225603051.html,瑞士莲 巧克力【600g大份装】经典5种口味 Lindt夹心牛奶黑巧克力年货情人节送女友分享装 软心精选巧克力600g/袋【5种口味】,巧克力,难以抗拒的幼滑软心，每袋600g，约50粒，蓝色款三种口味，金色经典款5种口味哦！Meiji明治巧克力【75g*5盒】四种口味圣诞节情人节,5000+条评价,https://mall.jd.com/index-17752.html?from=pc,裕品食品专营店,每满199-20
132.9,132.9,https://item.jd.com/1748541.html,费列罗(FERRERO)榛果威化糖果巧克力制品 节日礼物 婚庆喜糖伴手礼员工福利 零食 27粒心形礼盒装337.5g,巧克力,"【费列罗健达巧克力*双11全球热爱季】10月20日20点火热开启，定金抢先付，尾款享立减！超值优惠享不停！加入会员领券且可抽超值大奖,点击查看更多优惠进入",50万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"自营
								满69-20"
149,149,https://item.jd.com/1320987786.html,瑞士莲 Lindt 进口软心精选巧克力600克 万圣节日送礼零食家庭分享装,巧克力,瑞士莲 Lindt 进口软心精选巧克力600克 万圣节日送礼零食家庭分享装,,https://mall.jd.com/index-21779.html?from=pc,瑞士莲官方旗舰店,"跨店每满299-50
								券149-15"
9.91,9.91,https://item.jd.com/967592.html,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食伴手礼 节日送礼亲友团聚休闲食品  3粒装37.5g,巧克力,"【费列罗健达巧克力*双11全球热爱季】10月20日20点火热开启，定金抢先付，尾款享立减！超值优惠享不停！加入会员领券且可抽超值大奖,点击查看更多优惠进入",,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"自营
								2件9.5折"
49.9,49.9,https://item.jd.com/3397830.html,好时 Hershey’s 黑巧克力 排块 办公室休闲  零食 家庭分享装 婚庆喜糖 210g,巧克力,好时 Hershey’s 黑巧克力 排块 办公室休闲  零食 家庭分享装 婚庆喜糖 210g,,https://mall.jd.com/index-1000075682.html?from=pc,好时京东自营旗舰店,"自营
								品质溯源
								2件9折"
118,118,https://item.jd.com/28959494280.html,ROYCE 【预售】北海道生巧克力礼盒七夕情人节送男女朋友生日礼物伴手礼 【口味推荐】原味*1盒,巧克力,,1万+条评价,https://mall.jd.com/index-807823.html?from=pc,洛永星官方旗舰店,
29,29,https://item.jd.com/6474287.html,雀巢(Nestle) 奇巧KitKat 黑巧克力非威化饼干12块 休闲零食下午茶146g 节日送礼 生日礼物 送女友礼物,巧克力,#【金六福&徐福记-双福齐聚】爆款每满199减20元，喜酒喜糖一站购，双喜临门，还有超值好礼相赠！点击查看,10万+条评价,https://mall.jd.com/index-1000089686.html?from=pc,徐福记京东自营旗舰店,"自营
								2件9折"
49.9,49.9,https://item.jd.com/100000995449.html,新西兰进口 惠特克 whittakers 香醇牛奶丝滑巧克力糖果零食休闲食品180g袋装,巧克力,新西兰进口 惠特克 whittakers 香醇牛奶丝滑巧克力糖果零食休闲食品180g袋装,5万+条评价,https://mall.jd.com/index-1000118801.html?from=pc,惠特克（whittakers）巧克力京东自营旗舰店,"自营
								品质溯源
								2件9折"
159.9,159.9,https://item.jd.com/2427928.html,魔吻（AMOVO）黑巧克力礼盒情人节表白礼物万圣节糖果生日礼物送女友送男友（奇幻之旅）270克,巧克力,纯黑巧克力礼盒多口味夹心高雅款,5万+条评价,https://mall.jd.com/index-1000089365.html?from=pc,魔吻京东自营旗舰店,自营
68,68,https://item.jd.com/61018627380.html,费列罗（FERRERO） 巧克力礼盒装万圣节糖果生日礼物女生情人节礼物送女友榛果婚庆喜糖225g 费列罗18粒金色,巧克力,【店铺补贴加购立减】【万圣节糖果】【送女友送儿童】【买贵退差全店保价】【8仓发货定时送达】【15天无理由退换货】【京东超市放心购】,5万+条评价,https://mall.jd.com/index-755041.html?from=pc,多唯呀礼盒旗舰店,"京东物流
								跨店每满299-50"
143,143,https://item.jd.com/10025101963254.html,费列罗（Ferrero Rocher） 礼盒装情人节万圣节圣诞节平安夜零食礼物送员工生日团购女友老婆 金色48粒礼盒装,,8仓配送【节日礼物】【京东定时达，最快当天到】【企业采购找客服】,5万+条评价,https://mall.jd.com/index-10318355.html?from=pc,莲雅进口食品专营店,"京东物流
								秒杀
								券300-30
								每满139-37"
38.9,38.9,https://item.jd.com/532637.html,克特多金象（Cote d'Or）进口86%可可黑巧克力排块装100g/排 儿童休闲零食糖果 生日礼物节日礼品,巧克力,克特多金象（Cote d'Or）进口86%可可黑巧克力排块装100g/排 儿童休闲零食糖果 生日礼物节日礼品,20万+条评价,https://mall.jd.com/index-1000351622.html?from=pc,三角金象巧克力京东自营专区,"自营
								品质溯源
								2件9折"
33.9,33.9,https://item.jd.com/508518.html,克特多金象（Cote d'Or）进口70%可可黑巧克力排块装100g排 儿童休闲零食糖果 生日礼物节日礼品,巧克力,克特多金象（Cote d'Or）进口70%可可黑巧克力排块装100g排 儿童休闲零食糖果 生日礼物节日礼品,20万+条评价,https://mall.jd.com/index-1000351622.html?from=pc,三角金象巧克力京东自营专区,"自营
								品质溯源
								2件9折"
13.9,13.9,https://item.jd.com/326437.html,脆香米牛奶脆米心巧克力120g袋装 办公室休闲零食糖果分享零食礼物礼品（新旧包装随机发放）,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,100万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"自营
								券99-5"
98,98,https://item.jd.com/735029.html,瑞士莲（Lindt）软心精选巧克力14粒装礼盒168g送礼聚会伴手礼,巧克力,意大利进口，600g软心精选量贩装，5种口味随心享，品味颗颗幼滑软心，(此商品不参加上述活动),2万+条评价,https://mall.jd.com/index-1000081022.html?from=pc,瑞士莲京东自营旗舰店,"自营
								2件9折"
89,89,https://item.jd.com/10552030243.html,歌斐颂 纯可可脂纯黑巧克力盒装85%代餐健身烘焙网红休闲零食糖果礼盒装送男女友三八妇女节平安夜礼物,巧克力,歌斐颂 纯可可脂纯黑巧克力盒装85%代餐健身烘焙网红休闲零食糖果礼盒装送男女友三八妇女节平安夜礼物,2万+条评价,https://mall.jd.com/index-80224.html?from=pc,歌斐颂旗舰店,"跨店每满299-50
								赠"
113,113,https://item.jd.com/10037568839861.html,瑞士莲 【爆款回归】  Lindt 进口冰山雪融可可黑巧克力 休闲零食【新老版本随机发货】 冰山雪融牛奶巧克力175g,爆款,,500+条评价,https://mall.jd.com/index-21779.html?from=pc,瑞士莲官方旗舰店,跨店每满299-50
119,119,https://item.jd.com/100034896139.html,歌帝梵(GODIVA)臻粹巧克力礼盒精选10颗装 100g 生日礼盒巧克力 万圣节感恩节礼物 节日礼物糖果巧克力,巧克力,【限时折上折】部分产品129打9折，169打8折!! 【下单有礼】尊享宅家美食，赠专属礼袋! 【下单赠豆】会员专享下单即赠300京豆!速戳》,5万+条评价,https://mall.jd.com/index-1000395803.html?from=pc,歌帝梵（Godiva）臻享京东自营旗舰店,"自营
								新品
								3件8折
								赠"
38,38,https://item.jd.com/100018395425.html,滋露多彩什锦夹心巧克力礼盒装(代可可脂)27粒163g 日本进口松尾Tirol生日礼物送女友,巧克力,日本进口零食专区，精美礼盒，各类零食季节限定款等您选购点击查看！(此商品不参加上述活动),2000+条评价,https://mall.jd.com/index-1000367485.html?from=pc,春捃京东自营旗舰店,"自营
								品质溯源
								2件9折"
22.9,22.9,https://item.jd.com/508485.html,三角Toblerone瑞士进口黑巧克力含蜂蜜及巴旦木糖果儿童休闲零食100g/条 生日礼物节日礼品,巧克力,三角Toblerone瑞士进口黑巧克力含蜂蜜及巴旦木糖果儿童休闲零食100g/条 生日礼物节日礼品,50万+条评价,https://mall.jd.com/index-1000351622.html?from=pc,三角金象巧克力京东自营专区,"自营
								定期
								品质溯源
								2件9折"
149.9,149.9,https://item.jd.com/100001324422.html,费列罗(FERRERO)臻品威化糖果巧克力制品 送礼婚庆喜糖零食伴手礼节日礼物 48粒礼盒装518.4g,巧克力,"【费列罗健达巧克力*双11全球热爱季】10月20日20点火热开启，定金抢先付，尾款享立减！超值优惠享不停！加入会员领券且可抽超值大奖,点击查看更多优惠进入",50万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"自营
								满49-20"
129.8,129.8,https://item.jd.com/967625.html,费列罗(FERRERO)臻品威化糖果巧克力制品 节日礼物婚庆喜糖伴手礼 32粒礼盒装364.3g（新老款随机发货）,巧克力,"【费列罗健达巧克力*双11全球热爱季】10月20日20点火热开启，定金抢先付，尾款享立减！超值优惠享不停！加入会员领券且可抽超值大奖,点击查看更多优惠进入",50万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,自营
30.9,30.9,https://item.jd.com/1178879.html,德芙Dove丝滑牛奶巧克力分享碗装 252g 代言人同款 休闲零食婚庆糖果礼品（新旧包装随机发放）,巧克力,,500万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
17.5,17.5,https://item.jd.com/100039440604.html,德芙(Dove)黑巧克力小碗装112g办公室零食生日礼物休闲零食礼品,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,20万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
32,32,https://item.jd.com/100016186756.html,Kinder健达儿童牛奶夹心巧克力制品成长必备节日团聚  儿童成人零食休闲食品 迷你型碗装32粒192g,巧克力,"【费列罗健达巧克力*双11全球热爱季】10月20日20点火热开启，定金抢先付，尾款享立减！超值优惠享不停！加入会员领券且可抽超值大奖,点击查看更多优惠进入",50万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"自营
								满39-10"
32,32,https://item.jd.com/967615.html,费列罗(FERRERO)拉斐尔椰蓉扁桃仁糖果酥球 婚庆喜糖零食伴手礼  节日礼物亲友团聚 员工福利15粒礼盒装150g,,"【费列罗健达巧克力*双11全球热爱季】10月20日20点火热开启，定金抢先付，尾款享立减！超值优惠享不停！加入会员领券且可抽超值大奖,点击查看更多优惠进入",20万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"自营
								满15-3"
65,65,https://item.jd.com/10040784155024.html,费列罗 巧克力礼盒220g生日礼物送女友女朋友老婆女神闺蜜万圣节糖果礼物婚庆喜糖伴手礼 18粒金色礼盒,巧克力,【婚庆喜糖伴手礼】【结婚纪念日礼物】【巧克力】【生日礼物女生】【节日礼物】【买贵退差全店保价】,2万+条评价,https://mall.jd.com/index-11626042.html?from=pc,巧语巧克力旗舰店,"京东物流
								跨店每满299-50
								秒杀
								每满65-16
								赠"
64.9,64.9,https://item.jd.com/100004863383.html,三角Toblerone瑞士进口黑巧克力分享装200g 儿童休闲零食糖果 家庭分享装 婚庆喜糖伴手礼 节日礼品生日礼物,巧克力,三角Toblerone瑞士进口黑巧克力分享装200g 儿童休闲零食糖果 家庭分享装 婚庆喜糖伴手礼 节日礼品生日礼物,5万+条评价,https://mall.jd.com/index-1000351622.html?from=pc,三角金象巧克力京东自营专区,"自营
								品质溯源
								2件9折"
99,99,https://item.jd.com/10062031393435.html,进口费列罗巧克力礼盒30粒送男生女朋友高档生日零食万圣节礼物 FERRERO费列罗30粒,巧克力,,0条评价,https://mall.jd.com/index-12324507.html?from=pc,浮桥吴志建食品小店,放心购
53.9,53.9,https://item.jd.com/1178904.html,德芙(Dove) 心语巧克力礼盒150g 生日礼物休闲零食喜糖伴手礼（本产品不含礼品袋，新旧包装随机发货）,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,50万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
45,45,https://item.jd.com/1877430.html,明治（Meiji）澳洲坚果夹心巧克力混合装 125g,巧克力,明治（Meiji）澳洲坚果夹心巧克力混合装 125g,2万+条评价,https://mall.jd.com/index-1000118190.html?from=pc,明治京东自营旗舰店,"自营
								3件8折"
149,149,https://item.jd.com/1320987786.html,瑞士莲 Lindt 进口软心精选巧克力600克 万圣节日送礼零食家庭分享装,巧克力,瑞士莲 Lindt 进口软心精选巧克力600克 万圣节日送礼零食家庭分享装,5万+条评价,https://mall.jd.com/index-21779.html?from=pc,瑞士莲官方旗舰店,"跨店每满299-50
								券149-15"
9.91,9.91,https://item.jd.com/967592.html,费列罗(FERRERO)榛果威化糖果巧克力制品 婚庆喜糖零食伴手礼 节日送礼亲友团聚休闲食品  3粒装37.5g,巧克力,"【费列罗健达巧克力*双11全球热爱季】10月20日20点火热开启，定金抢先付，尾款享立减！超值优惠享不停！加入会员领券且可抽超值大奖,点击查看更多优惠进入",200万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"自营
								2件9.5折"
49.9,49.9,https://item.jd.com/3397830.html,好时 Hershey’s 黑巧克力 排块 办公室休闲  零食 家庭分享装 婚庆喜糖 210g,巧克力,好时 Hershey’s 黑巧克力 排块 办公室休闲  零食 家庭分享装 婚庆喜糖 210g,20万+条评价,https://mall.jd.com/index-1000075682.html?from=pc,好时京东自营旗舰店,"自营
								品质溯源
								2件9折"
39,39,https://item.jd.com/100027088809.html,ChocZero零度巧克力美国进口无蔗糖未碱化无添加糖生可可粉烘焙冲饮生酮低脂 可可粉105g,巧克力,,,https://mall.jd.com/index-1000426861.html?from=pc,CHOCZERO京东自营旗舰店,自营
64.9,64.9,https://item.jd.com/100034739021.html,三角Toblerone瑞士进口牛奶巧克力分享装160g 儿童休闲零食糖果家庭分享装 婚庆喜糖伴手礼 节日礼品生日礼物,巧克力,三角Toblerone瑞士进口牛奶巧克力分享装160g 儿童休闲零食糖果家庭分享装 婚庆喜糖伴手礼 节日礼品生日礼物,,https://mall.jd.com/index-1000351622.html?from=pc,三角金象巧克力京东自营专区,"自营
								新品
								2件9折"
96,96,https://item.jd.com/17746074868.html,费列罗巧克力礼盒30粒370g生日礼物送女友女朋友老婆纪念日万圣节糖果礼物婚庆喜糖伴手礼,巧克力,【婚庆喜糖伴手礼】【结婚纪念日礼物】【巧克力】【生日礼物女生】【节日礼物】【买贵退差全店保价】,,https://mall.jd.com/index-613836.html?from=pc,1314巧克力旗舰店,"京东物流
								跨店每满299-50
								闪购
								每满96-17
								赠"
119,119,https://item.jd.com/100010910967.html,朵娜贝拉dorabella比利时进口巧克力礼盒零食糖果大礼包结婚喜糖伴手礼送员工女友老婆万圣节情人节生日礼物,巧克力,朵娜贝拉dorabella比利时进口巧克力礼盒零食糖果大礼包结婚喜糖伴手礼送员工女友老婆万圣节情人节生日礼物,,https://mall.jd.com/index-1000353903.html?from=pc,朵娜贝拉（Dorabella）京东自营旗舰店,"自营
								赠"
29.5,29.5,https://item.jd.com/988585.html,M&M'S 混合巧克力豆270g桶装 休闲妙趣畅享零食糖果礼物礼品（新旧包装随机发放）,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
13.9,13.9,https://item.jd.com/10044447205208.html,康美纳卡 白俄罗斯进口 黑巧克力高浓度精选纯可可脂运动健身黑巧克力休闲零食黑巧克力90g装 黑巧克力90g（72%可可）,巧克力,单笔订单满49元+7元可换购100g牛奶巧克力一块【在购物车中换购】,,https://mall.jd.com/index-11697048.html?from=pc,白俄罗斯进口馆,"京东物流
								跨店每满299-50
								秒杀
								2件9折"
29,29,https://item.jd.com/6474287.html,雀巢(Nestle) 奇巧KitKat 黑巧克力非威化饼干12块 休闲零食下午茶146g 节日送礼 生日礼物 送女友礼物,巧克力,,,https://mall.jd.com/index-1000089686.html?from=pc,徐福记京东自营旗舰店,自营
76.5,76.5,https://item.jd.com/10046155996989.html,{俄罗斯国家馆}126块*15克实惠装 俄罗斯黑巧克力原装进口零食 630克一盒（42块*15克） 牛奶味1盒,巧克力,俄罗斯国家馆,,https://mall.jd.com/index-10024437.html?from=pc,俄罗斯国家馆,跨店每满1000-100
94.3,94.3,https://item.jd.com/100006406703.html,歌帝梵(GODIVA) 臻粹双重巧克力制品 12粒/盒 流心榛子进口巧克力 万圣节感恩节礼物喜糖伴手礼糖果巧克力,巧克力,"【限时折上折】部分产品129打9折，169打8折!! 【入会有礼】入会得100积分,单笔实付299赠20元E卡 【实付满赠】会员专享下单即赠300京豆!速戳》",,https://mall.jd.com/index-1000395803.html?from=pc,歌帝梵（Godiva）臻享京东自营旗舰店,"自营
								定期
								品质溯源"
115,115,https://item.jd.com/10055350034240.html,巧克力礼盒装万圣节棒棒糖果礼盒生日情人节礼物女生送女友儿童老婆浪漫惊喜表白礼实用 德芙双层甜蜜情话礼盒（伊诺滋德芙罗丽莎组合）,巧克力,【京8仓发，可指定送达】【一个礼盒多种享受】【精美双层礼盒】【更多礼盒】,,https://mall.jd.com/index-614699.html?from=pc,多唯呀食品旗舰店,"京东物流
								跨店每满1000-100
								闪购
								2件8折
								赠"
189,189,https://item.jd.com/100020390366.html,朵娜贝拉Dorabella比利时进口巧克力礼盒装零食糖果大礼包结婚喜糖伴手礼男生送女友万圣节情人节生日礼物,巧克力,朵娜贝拉Dorabella比利时进口巧克力礼盒装零食糖果大礼包结婚喜糖伴手礼男生送女友万圣节情人节生日礼物,,https://mall.jd.com/index-1000353903.html?from=pc,朵娜贝拉（Dorabella）京东自营旗舰店,"自营
								赠"
25.19,25.19,https://item.jd.com/6338076.html,雀巢(Nestle) 奇巧KitKat 牛奶巧克力非威化饼干12块 休闲零食下午茶146g （新旧包装随机发货） 生日礼物,巧克力,#【金六福&徐福记-双福齐聚】爆款每满199减20元，喜酒喜糖一站购，双喜临门，还有超值好礼相赠！点击查看,,https://mall.jd.com/index-1000089686.html?from=pc,徐福记京东自营旗舰店,"自营
								2件9折"
32,32,https://item.jd.com/967615.html,费列罗(FERRERO)拉斐尔椰蓉扁桃仁糖果酥球 婚庆喜糖零食伴手礼  节日礼物亲友团聚 员工福利15粒礼盒装150g,,,,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,自营
80,80,https://item.jd.com/10040539057128.html,德芙（DOVE） 巧克力礼盒万圣节糖果礼物情人节礼物送女友女生闺蜜生日礼物公司团购员工福利伴手礼 德芙一路有你双层礼盒,巧克力,【全店补贴一直保价】【限时优惠下单立减】【教师节礼物送老师】【生日礼物女生】【15天无理由退换货】【8仓发货定时送达】教师节中秋节主会场,,https://mall.jd.com/index-866166.html?from=pc,可达鸭官方旗舰店,"京东物流
								跨店每满299-50
								满80-17"
63.6,63.6,https://item.jd.com/1178902.html,德芙(Dove)精心之选多种口味巧克力礼盒140g代言人同款生日礼物送女友喜糖伴手礼（本产品不含礼品袋）,巧克力,【与你巧遇预售甜蜜】双11狂欢预售开启啦！甜蜜芙礼部分抢券满199减99元。更多美妙趣食，丝滑你的味蕾！点击速抢！查看,,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,自营
49.9,49.9,https://item.jd.com/10038252188629.html,德芙（Dove）丝滑牛奶巧克力排块224g×2盒原装办公休闲零食糖果生日礼物万圣节送女孩男孩 丝滑牛奶14g×16（2盒装）,巧克力,一口小愉悦，焕新上市，好吃比碗装划算！,,https://mall.jd.com/index-11592250.html?from=pc,德芙旗舰店,"京东物流
								跨店每满299-50"
29.9,29.9,https://item.jd.com/10044404720095.html,【全国七仓发货】纯黑可可脂巧克力可可休闲万圣节糖果零食年货婚庆伴手礼 【无添加蔗糖】100%可可-逆天苦,巧克力,【全国七仓发货】纯黑可可脂巧克力可可休闲万圣节糖果零食年货婚庆伴手礼 【无添加蔗糖】100%可可-逆天苦,,https://mall.jd.com/index-22435.html?from=pc,诺梵官方旗舰店,"京东物流
								跨店每满299-50
								2件6折"
138,138,https://item.jd.com/100025164979.html,诺梵10盒装高纯黑巧克力100%逆天苦0添加蔗糖恶搞万圣节糖果礼盒生日礼物女送女友办公室小零食1216g,巧克力,诺梵10盒装高纯黑巧克力100%逆天苦0添加蔗糖恶搞万圣节糖果礼盒生日礼物女送女友办公室小零食1216g,,https://mall.jd.com/index-1000082422.html?from=pc,诺梵京东自营旗舰店,"自营
								秒杀"
109,109,https://item.jd.com/10062840912874.html,瑞士莲（lindt） 进口软心黑巧克力Lindor混合5味万圣节糖果婚庆喜糖伴手礼生日礼物女生送女友 Lindor经典600g,巧克力,,,https://mall.jd.com/index-755041.html?from=pc,多唯呀礼盒旗舰店,跨店每满299-50
86.9,86.9,https://item.jd.com/530944.html,克特多金象（Cote d'Or）进口牛奶巧克力礼盒240g家庭分享装 儿童休闲零食 婚庆喜糖伴手礼生日礼物,巧克力,克特多金象（Cote d'Or）进口牛奶巧克力礼盒240g家庭分享装 儿童休闲零食 婚庆喜糖伴手礼生日礼物,,https://mall.jd.com/index-1000351622.html?from=pc,三角金象巧克力京东自营专区,"自营
								定期
								品质溯源
								2件9折"
