会员卡号,此次消费的会员积分,积分等级,年龄,年龄段,入会时长,消费次数,消费频率,消费金额,消费水平,平均每单金额,价值属性,最后一次消费距今时长,柜组名称
1f3c961c,2000.0,积分低等级,28,青年,1026,2,低频消费,2000.0,低消费水平,1000.0,单均价值一般,944,娇韵诗柜
1f3daeac,350.0,积分低等级,36,青年,1053,1,低频消费,350.0,低消费水平,350.0,单均价值低,1053,兰芝柜
1f3f420d,1820.0,积分低等级,31,青年,981,4,低频消费,2140.0,低消费水平,535.0,单均价值一般,189,APM
1f428aa9,13448.0,积分中等级,49,中年,402,4,低频消费,13448.0,中等消费水平,3362.0,单均价值一般,23,雅诗兰黛ESTEE LAUDER
1f436949,4141.0,积分低等级,40,青年,1086,5,低频消费,4141.0,低消费水平,828.2,单均价值一般,175,PAW IN PAW
1f455d73,0.0,积分低等级,22,青年,928,2,低频消费,2756.0,低消费水平,1378.0,单均价值一般,921,VME柜
1f495e61,150.0,积分低等级,32,青年,645,1,低频消费,150.0,低消费水平,150.0,单均价值低,645,CLINIQUE
1f4992c7,179627.0,积分高等级,49,中年,312,9,中频消费,179627.4,高消费水平,19958.6,单均价值高,0,LUKA DILONG
1f4a9530,0.0,积分低等级,54,中年,467,2,低频消费,2568.0,低消费水平,1284.0,单均价值一般,25,COMICO
1f4d59d6,6470.0,积分低等级,34,青年,870,7,中频消费,9420.0,低消费水平,1345.7142857142858,单均价值一般,170,LANCOME
1f512e1c,8045.0,积分低等级,34,青年,1076,8,中频消费,12339.4,中等消费水平,1542.425,单均价值一般,301,香奈儿柜
1f5f459e,1110.0,积分低等级,54,中年,1012,3,低频消费,4060.0,低消费水平,1353.3333333333333,单均价值一般,486,COACH 柜
1f60c2e1,31116.0,积分中等级,54,中年,418,8,中频消费,31115.0,中等消费水平,3889.375,单均价值高,275,ATSUGI
1f638c91,2192.0,积分低等级,53,中年,466,1,低频消费,2192.0,低消费水平,2192.0,单均价值一般,466,HOGL
1f660a86,1962.0,积分低等级,37,青年,453,8,中频消费,6500.6,低消费水平,812.575,单均价值一般,103,LEONARDO
1f660b47,32137.0,积分中等级,51,中年,1080,6,低频消费,34558.9,中等消费水平,5759.816666666667,单均价值高,44,KODICE
1f66f4f6,5054.0,积分低等级,28,青年,90,1,低频消费,25270.0,中等消费水平,25270.0,单均价值高,90,瑞士钟表柜
1f694c09,3924.0,积分低等级,37,青年,19,1,低频消费,3924.0,低消费水平,3924.0,单均价值高,19,H.GENTEEL荷高
1f6b952d,14575.0,积分中等级,41,中年,658,2,低频消费,14575.0,中等消费水平,7287.5,单均价值高,376,阿玛尼GIORGIO ARMANI
1f6eb4b6,1071.0,积分低等级,50,中年,897,1,低频消费,1071.0,低消费水平,1071.0,单均价值一般,897,INSUN
1f70196b,1810.0,积分低等级,39,青年,1039,1,低频消费,1810.0,低消费水平,1810.0,单均价值一般,1039,迪奥柜
1f765795,20385.0,积分中等级,45,中年,38,1,低频消费,24494.4,中等消费水平,24494.4,单均价值高,38,Marisfrolg
1f788c89,0.0,积分低等级,49,中年,723,8,中频消费,18680.0,中等消费水平,2335.0,单均价值一般,544,启才柜
1f7b9cd3,67319.0,积分中等级,76,老年,611,18,中频消费,79284.92,中等消费水平,4404.717777777778,单均价值高,8,LEONARDO
1f7bff3a,850.0,积分低等级,56,中年,515,1,低频消费,850.0,低消费水平,850.0,单均价值一般,515,施华洛世奇柜
1f7cc3f4,124801.0,积分高等级,42,中年,379,30,中频消费,193819.5,高消费水平,6460.65,单均价值高,19,Marisfrolg
1f7e89cc,74.0,积分低等级,34,青年,942,1,低频消费,74.0,低消费水平,74.0,单均价值低,942,soho柜
1f7f096b,1840.0,积分低等级,56,中年,181,1,低频消费,1840.0,低消费水平,1840.0,单均价值一般,181,CANUDILO柜
1f80b0fc,0.0,积分低等级,59,中年,970,1,低频消费,1152.0,低消费水平,1152.0,单均价值一般,970,玛戈隆特柜
1f81d3b5,3578.0,积分低等级,42,中年,622,2,低频消费,3577.5,低消费水平,1788.75,单均价值一般,404,LAMPO
1f81e712,610.0,积分低等级,29,青年,1047,3,低频消费,4481.0,低消费水平,1493.6666666666667,单均价值一般,354,COACH 柜
1f843712,1200.0,积分低等级,35,青年,1077,1,低频消费,1200.0,低消费水平,1200.0,单均价值一般,1077,香奈儿柜
1f87a7ea,12526.0,积分中等级,54,中年,587,5,低频消费,12526.1,中等消费水平,2505.2200000000003,单均价值一般,38,COACH 柜
1f8bf4fd,44076.0,积分中等级,45,中年,723,10,中频消费,44076.0,中等消费水平,4407.6,单均价值高,399,CHANEL
1f8fec83,1895.0,积分低等级,46,中年,933,2,低频消费,1895.0,低消费水平,947.5,单均价值一般,933,III VIVINIKO
1f90c00f,11916.0,积分中等级,48,中年,878,5,低频消费,11916.0,中等消费水平,2383.2,单均价值一般,160,OXETTE柜
1f93823a,6281.0,积分低等级,40,青年,494,2,低频消费,6281.0,低消费水平,3140.5,单均价值一般,494,OXETTE柜
1f938829,1394.0,积分低等级,52,中年,318,1,低频消费,1394.0,低消费水平,1394.0,单均价值一般,318,例外（4F女装）
1f94508a,9417.0,积分低等级,45,中年,955,10,中频消费,9417.0,低消费水平,941.7,单均价值一般,93,雅诗兰黛ESTEE LAUDER
1f94b30a,3620.0,积分低等级,38,青年,637,3,低频消费,3620.0,低消费水平,1206.6666666666667,单均价值一般,621,CLARINS
1f98f42b,6670.0,积分低等级,29,青年,886,2,低频消费,6670.0,低消费水平,3335.0,单均价值一般,80,万宝龙柜(综合转男装)
1f9a7f3a,11487.0,积分中等级,31,青年,1060,5,低频消费,11487.0,中等消费水平,2297.4,单均价值一般,928,DAZZLE DIANMOND柜
1f9d1940,6495.0,积分低等级,42,中年,1006,4,低频消费,6495.0,低消费水平,1623.75,单均价值一般,347,Dior
1f9fa90d,12915.0,积分中等级,41,中年,1051,8,中频消费,12915.0,中等消费水平,1614.375,单均价值一般,4,LANCOME
1fa19c3a,4465.0,积分低等级,44,中年,6,2,低频消费,4465.0,低消费水平,2232.5,单均价值一般,6,LANCOME
1faf11e3,6640.0,积分低等级,32,青年,897,8,中频消费,8355.0,低消费水平,1044.375,单均价值一般,183,Shu Uemura
1faf508c,131267.0,积分高等级,44,中年,1054,22,中频消费,171565.7,高消费水平,7798.440909090909,单均价值高,79,ZUCZUG
1fb26890,12102.0,积分中等级,45,中年,648,8,中频消费,12102.0,中等消费水平,1512.75,单均价值一般,620,CLARINS
1fb457c9,20676.0,积分中等级,58,中年,1079,10,中频消费,20783.0,中等消费水平,2078.3,单均价值一般,1051,科颜氏柜
1fb64dab,2476.02,积分低等级,29,青年,444,1,低频消费,2476.0,低消费水平,2476.0,单均价值一般,444,雅芳婷柜
1fb8df0c,3271.0,积分低等级,32,青年,952,5,低频消费,3271.0,低消费水平,654.2,单均价值一般,345,PawinPaw
1fc0077d,7040.0,积分低等级,48,中年,600,5,低频消费,7040.0,低消费水平,1408.0,单均价值一般,450,AUPRES
1fc04ace,2147.0,积分低等级,36,青年,880,3,低频消费,2147.0,低消费水平,715.6666666666666,单均价值一般,867,ATSUGI
1fc2c4d2,620.0,积分低等级,38,青年,898,2,低频消费,2007.0,低消费水平,1003.5,单均价值一般,599,Dior
1fc2d0a3,1720.0,积分低等级,28,青年,1096,6,低频消费,1720.0,低消费水平,286.6666666666667,单均价值低,933,圣罗兰柜
1fc444bc,1390.0,积分低等级,55,中年,1054,2,低频消费,3525.0,低消费水平,1762.5,单均价值一般,607,Triumph
1fc7c484,813.0,积分低等级,41,中年,266,1,低频消费,813.0,低消费水平,813.0,单均价值一般,266,soho
1fc97d91,965.0,积分低等级,29,青年,1052,2,低频消费,4805.4,低消费水平,2402.7,单均价值一般,605,CARBANNIA（卡邦尼）
1fca0381,320.0,积分低等级,39,青年,490,1,低频消费,320.0,低消费水平,320.0,单均价值低,490,Dior
1fccb061,4210.0,积分低等级,24,青年,17,1,低频消费,4210.0,低消费水平,4210.0,单均价值高,17,阿玛尼GIORGIO ARMANI
1fcd0d86,0.0,积分低等级,34,青年,983,1,低频消费,46.0,低消费水平,46.0,单均价值低,983,双立人柜
1fcd2df7,8332.0,积分低等级,50,中年,1034,4,低频消费,8432.0,低消费水平,2108.0,单均价值一般,404,兰蔻柜
1fd07221,2715.0,积分低等级,32,青年,103,6,低频消费,8872.8,低消费水平,1478.8,单均价值一般,97,AUPRES
1fd0b782,9345.0,积分低等级,43,中年,459,6,低频消费,19443.55,中等消费水平,3240.5916666666667,单均价值一般,130,CLINIQUE
1fd363ab,7660.0,积分低等级,30,青年,961,4,低频消费,7660.0,低消费水平,1915.0,单均价值一般,109,OBBLIGATO
1fd64ff1,238.0,积分低等级,38,青年,939,1,低频消费,238.0,低消费水平,238.0,单均价值低,939,LEOTOT
1fdacd2c,7480.0,积分低等级,48,中年,998,4,低频消费,10576.0,中等消费水平,2644.0,单均价值一般,46,LANCOME
1fdc8b5e,1364.0,积分低等级,42,中年,1052,2,低频消费,1963.8,低消费水平,981.9,单均价值一般,38,JNBY
1fdc9d3b,11255.0,积分中等级,36,青年,1032,6,低频消费,11255.0,中等消费水平,1875.8333333333333,单均价值一般,359,CLINIQUE
1fdf9186,16930.0,积分中等级,52,中年,898,6,低频消费,16930.0,中等消费水平,2821.6666666666665,单均价值一般,68,嘉宝柜
1fe1ea9f,5996.0,积分低等级,60,中年,150,3,低频消费,5996.0,低消费水平,1998.6666666666667,单均价值一般,94,Thursday Island
1fe34ebf,0.0,积分低等级,33,青年,605,1,低频消费,1116.0,低消费水平,1116.0,单均价值一般,605,CHANEL
1fe51aa6,42.86,积分低等级,43,中年,1098,1,低频消费,900.0,低消费水平,900.0,单均价值一般,1098,安莉芳柜(4F)
1fecb2ac,5948.0,积分低等级,33,青年,420,5,低频消费,5948.0,低消费水平,1189.6,单均价值一般,252,YSL
1ff3df5e,11320.0,积分中等级,36,青年,1074,4,低频消费,11320.0,中等消费水平,2830.0,单均价值一般,912,娇兰柜
1ff40b91,8097.0,积分低等级,26,青年,130,4,低频消费,23610.4,中等消费水平,5902.6,单均价值高,130,GORNIA柜
1ff54774,560.0,积分低等级,31,青年,499,1,低频消费,560.0,低消费水平,560.0,单均价值一般,499,YSL
1ff5beb8,3950.0,积分低等级,28,青年,934,1,低频消费,3950.0,低消费水平,3950.0,单均价值高,934,海蓝之谜(LA MER)
1ff83277,0.0,积分低等级,27,青年,969,1,低频消费,1116.0,低消费水平,1116.0,单均价值一般,969,兰蔻(LANCOME)
1ffa3dfb,9459.0,积分低等级,36,青年,337,2,低频消费,9459.0,低消费水平,4729.5,单均价值高,337,LA MER
1ffbc49e,24296.0,积分中等级,38,青年,404,7,中频消费,24295.6,中等消费水平,3470.7999999999997,单均价值一般,98,LA MER
1ffcb9e2,300.0,积分低等级,20,青年,303,1,低频消费,300.0,低消费水平,300.0,单均价值低,303,Dior
1ffdb6e3,1431.0,积分低等级,42,中年,329,1,低频消费,1431.0,低消费水平,1431.0,单均价值一般,329,嘉里奥
1fffce4b,6264.0,积分低等级,55,中年,866,2,低频消费,6979.4,低消费水平,3489.7,单均价值一般,184,YARLOKS（女鞋)
2006a6ba,0.0,积分低等级,48,中年,3,2,低频消费,6042.0,低消费水平,3021.0,单均价值一般,3,LA MER
20072b96,2796.0,积分低等级,56,中年,1014,1,低频消费,2808.0,低消费水平,2808.0,单均价值一般,1014,OBBLIGATO柜
200b685b,16508.0,积分中等级,42,中年,1051,14,中频消费,17916.0,中等消费水平,1279.7142857142858,单均价值一般,38,ZUCZUG
201056a8,500.0,积分低等级,30,青年,1006,1,低频消费,500.0,低消费水平,500.0,单均价值低,1006,娇韵诗柜
20121e0c,897.0,积分低等级,49,中年,386,1,低频消费,897.0,低消费水平,897.0,单均价值一般,386,虎牌
2012985f,15547.0,积分中等级,30,青年,615,7,中频消费,15547.0,中等消费水平,2221.0,单均价值一般,319,APM
2012f477,46244.0,积分中等级,34,青年,1016,9,中频消费,46716.67,中等消费水平,5190.7411111111105,单均价值高,984,香奈儿柜
2018e942,8241.0,积分低等级,48,中年,88,1,低频消费,13240.8,中等消费水平,13240.8,单均价值高,88,MaxMara 柜
20199a83,3162.0,积分低等级,48,中年,977,2,低频消费,5564.0,低消费水平,2782.0,单均价值一般,897,KALTENDIN(男装)
201d730e,5589.0,积分低等级,35,青年,469,2,低频消费,9945.0,低消费水平,4972.5,单均价值高,469,LANCOME
2028f153,6721.0,积分低等级,25,青年,626,6,低频消费,9105.0,低消费水平,1517.5,单均价值一般,375,科颜氏(Kiehl's)
202c9769,29352.0,积分中等级,55,中年,635,2,低频消费,29352.0,中等消费水平,14676.0,单均价值高,12,AutaSon
20311ff6,1685.0,积分低等级,1,少年,17,1,低频消费,1685.0,低消费水平,1685.0,单均价值一般,17,Jurlique
2035aea5,2663.0,积分低等级,26,青年,989,2,低频消费,2663.0,低消费水平,1331.5,单均价值一般,650,CHANEL
2037a1e7,7263.0,积分低等级,30,青年,514,3,低频消费,11863.0,中等消费水平,3954.3333333333335,单均价值高,434,SK-II
20381b14,1005.0,积分低等级,26,青年,334,1,低频消费,1005.0,低消费水平,1005.0,单均价值一般,334,香水 柜
203a7837,5678.0,积分低等级,29,青年,661,5,低频消费,5678.0,低消费水平,1135.6,单均价值一般,206,LaVico
203c9741,58926.0,积分中等级,41,中年,1079,22,中频消费,58926.0,中等消费水平,2678.4545454545455,单均价值一般,18,JNBY
203d9ddf,14260.0,积分中等级,32,青年,585,9,中频消费,14499.0,中等消费水平,1611.0,单均价值一般,553,LANCOME
204078d1,7756.0,积分低等级,62,中年,1052,4,低频消费,9978.76,低消费水平,2494.69,单均价值一般,182,Rime
20430a67,41142.0,积分中等级,56,中年,981,16,中频消费,42392.0,中等消费水平,2649.5,单均价值一般,93,欧舒丹柜
2045c1e3,694.0,积分低等级,32,青年,1051,3,低频消费,694.0,低消费水平,231.33333333333334,单均价值低,725,STAY REAL柜
20516d0c,8525.0,积分低等级,38,青年,240,2,低频消费,39845.0,中等消费水平,19922.5,单均价值高,105,CARTIER 柜
205208dd,21491.0,积分中等级,47,中年,875,6,低频消费,21491.0,中等消费水平,3581.8333333333335,单均价值高,495,LIME
2052e39f,1470.0,积分低等级,36,青年,574,2,低频消费,1470.0,低消费水平,735.0,单均价值一般,230,CLARINS
2055bfa0,5571.0,积分低等级,55,中年,398,2,低频消费,5571.0,低消费水平,2785.5,单均价值一般,141,COACH 柜
2055e0af,79.0,积分低等级,28,青年,65,1,低频消费,7860.0,低消费水平,7860.0,单均价值高,65,周大福柜
2055ed6f,176577.0,积分高等级,45,中年,1096,55,高频消费,162841.2,高消费水平,2960.749090909091,单均价值一般,0,AUPRES
20565bbf,14181.0,积分中等级,52,中年,1084,3,低频消费,18035.0,中等消费水平,6011.666666666667,单均价值高,979,雅诗兰黛柜
2056d267,10668.0,积分中等级,42,中年,921,3,低频消费,10668.0,中等消费水平,3556.0,单均价值高,88,OHUI/后
205a16e0,660.0,积分低等级,29,青年,965,2,低频消费,660.0,低消费水平,330.0,单均价值低,965,SK-II
205a7ab8,8035.0,积分低等级,35,青年,990,8,中频消费,8035.0,低消费水平,1004.375,单均价值一般,523,CLARINS
205b05a6,878.0,积分低等级,33,青年,948,1,低频消费,878.0,低消费水平,878.0,单均价值一般,948,TOP柜
205eda99,10955.0,积分中等级,58,中年,1013,5,低频消费,13495.16,中等消费水平,2699.032,单均价值一般,228,嘉宝柜
20622db7,13035.0,积分中等级,38,青年,1062,7,中频消费,13035.0,中等消费水平,1862.142857142857,单均价值一般,937,JuicyCouture柜
2063d399,11113.0,积分中等级,40,青年,1065,3,低频消费,11113.0,中等消费水平,3704.3333333333335,单均价值高,997,香奈儿柜
2064075d,6162.0,积分低等级,34,青年,1080,9,中频消费,24482.010000000002,中等消费水平,2720.2233333333334,单均价值一般,336,圣罗兰柜
2067e9d8,3720.0,积分低等级,34,青年,908,5,低频消费,13417.6,中等消费水平,2683.52,单均价值一般,91,LANCOME
206c3a21,130.0,积分低等级,40,青年,1059,1,低频消费,130.0,低消费水平,130.0,单均价值低,1059,欧舒丹柜
206d860e,3626.0,积分低等级,39,青年,1070,7,中频消费,3626.0,低消费水平,518.0,单均价值一般,45,兰蔻柜
206ee746,2263.0,积分低等级,38,青年,1084,5,低频消费,2263.0,低消费水平,452.6,单均价值低,271,暇步士柜（童装）
207181f7,5660.0,积分低等级,50,中年,868,1,低频消费,5660.0,低消费水平,5660.0,单均价值高,868,LUKA DILONG
207444bd,9195.0,积分低等级,30,青年,297,2,低频消费,9195.0,低消费水平,4597.5,单均价值高,235,CHANEL
207cf35e,450.0,积分低等级,36,青年,445,1,低频消费,450.0,低消费水平,450.0,单均价值低,445,CLINIQUE
207de6aa,1279.0,积分低等级,31,青年,33,1,低频消费,1380.0,低消费水平,1380.0,单均价值一般,33,雅诗兰黛ESTEE LAUDER
208279b6,1978.0,积分低等级,25,青年,889,2,低频消费,1978.0,低消费水平,989.0,单均价值一般,888,P-PLUS 柜
208607c8,1870.0,积分低等级,34,青年,1009,2,低频消费,1870.0,低消费水平,935.0,单均价值一般,891,LAMPO
208a97ca,470.0,积分低等级,45,中年,611,1,低频消费,470.0,低消费水平,470.0,单均价值低,611,雅诗兰黛ESTEE LAUDER
208ad827,22835.0,积分中等级,56,中年,519,3,低频消费,25439.0,中等消费水平,8479.666666666666,单均价值高,183,Marisfrolg
208cb84a,885.0,积分低等级,42,中年,968,3,低频消费,2746.0,低消费水平,915.3333333333334,单均价值一般,198,Hallmark(孕婴)
208cbecd,120097.72,积分高等级,42,中年,1082,25,中频消费,112058.72,高消费水平,4482.3488,单均价值高,70,Dior
208cccd7,103.0,积分低等级,41,中年,297,1,低频消费,103.0,低消费水平,103.0,单均价值低,297,英乐士
208d0a91,27308.0,积分中等级,38,青年,264,16,中频消费,46395.55,中等消费水平,2899.721875,单均价值一般,39,ENWEIS
208d76bb,60474.0,积分中等级,50,中年,1053,34,高频消费,69622.3,中等消费水平,2047.714705882353,单均价值一般,38,V-GRASS柜
20938fec,33517.0,积分中等级,45,中年,515,5,低频消费,33516.16,中等消费水平,6703.232000000001,单均价值高,39,Ecco柜
20956b55,10941.0,积分中等级,39,青年,555,5,低频消费,10941.0,中等消费水平,2188.2,单均价值一般,460,OHUI/后
2095d3c1,5740.0,积分低等级,54,中年,281,4,低频消费,6141.8,低消费水平,1535.45,单均价值一般,150,雅诗兰黛ESTEE LAUDER
2096ea00,3120.0,积分低等级,29,青年,284,2,低频消费,3120.0,低消费水平,1560.0,单均价值一般,92,LANCOME
2097dc3f,5600.0,积分低等级,36,青年,27,1,低频消费,5600.0,低消费水平,5600.0,单均价值高,27,LAMPO
209800f9,7630.0,积分低等级,37,青年,1098,5,低频消费,7630.0,低消费水平,1526.0,单均价值一般,1011,SK-II
209afd1f,300.0,积分低等级,25,青年,943,1,低频消费,300.0,低消费水平,300.0,单均价值低,943,迪奥(Dior)
209b60ef,40304.0,积分中等级,44,中年,1060,14,中频消费,45410.0,中等消费水平,3243.5714285714284,单均价值一般,123,LANCOME
209c0257,642.0,积分低等级,31,青年,182,3,低频消费,1913.0,低消费水平,637.6666666666666,单均价值一般,182,Dior
209c5437,2673.0,积分低等级,53,中年,320,1,低频消费,2773.0,低消费水平,2773.0,单均价值一般,320,BUOU BUOU
209c8a87,12460.0,积分中等级,48,中年,427,4,低频消费,17648.12,中等消费水平,4412.03,单均价值高,323,PORTS
209ce561,9420.0,积分低等级,36,青年,1090,7,中频消费,11663.0,中等消费水平,1666.142857142857,单均价值一般,946,芭比波朗柜
20a03155,8223.0,积分低等级,56,中年,577,3,低频消费,8223.0,低消费水平,2741.0,单均价值一般,94,Aimer
20a18d3b,3785.0,积分低等级,28,青年,2,1,低频消费,3785.71,低消费水平,3785.71,单均价值高,2,兰芝柜
20a6c2fd,22725.0,积分中等级,66,老年,934,15,中频消费,23195.5,中等消费水平,1546.3666666666666,单均价值一般,6,兰芝柜
20a97091,25766.0,积分中等级,47,中年,662,6,低频消费,25766.0,中等消费水平,4294.333333333333,单均价值高,662,AutaSon
20a9a0b5,13369.0,积分中等级,55,中年,386,4,低频消费,17891.5,中等消费水平,4472.875,单均价值高,37,Rebecca
20abae19,3430.0,积分低等级,33,青年,214,3,低频消费,5310.0,低消费水平,1770.0,单均价值一般,17,Jurlique
20ac750f,15737.0,积分中等级,31,青年,52,2,低频消费,78604.0,中等消费水平,39302.0,单均价值高,52,瑞士钟表柜
20ad448d,6491.0,积分低等级,60,中年,1040,7,中频消费,6491.0,低消费水平,927.2857142857143,单均价值一般,298,倩碧(CLINIQUE)
20ae9321,1818.0,积分低等级,34,青年,432,3,低频消费,1818.0,低消费水平,606.0,单均价值一般,418,虎牌
20af1299,1670.0,积分低等级,49,中年,266,1,低频消费,1670.0,低消费水平,1670.0,单均价值一般,266,雅诗兰黛ESTEE LAUDER
20b12355,150.0,积分低等级,35,青年,1083,1,低频消费,150.0,低消费水平,150.0,单均价值低,1083,玛丽亚·古奇柜
20b54ae9,32844.0,积分中等级,41,中年,873,13,中频消费,33048.34,中等消费水平,2542.18,单均价值一般,249,LANCOME
20b64893,137842.0,积分高等级,47,中年,1075,30,中频消费,207881.6,高消费水平,6929.386666666667,单均价值高,2,GIVENCHY 柜
20b752d6,16.0,积分低等级,46,中年,34,1,低频消费,679.0,低消费水平,679.0,单均价值一般,34,新博朗 柜
20b9e8eb,9052.0,积分低等级,52,中年,496,2,低频消费,15051.8,中等消费水平,7525.9,单均价值高,404,CARBANNIA（卡邦尼）
20bd2ad5,1088.0,积分低等级,38,青年,1051,2,低频消费,3088.0,低消费水平,1544.0,单均价值一般,865,VICUTU
20bf3d97,52201.0,积分中等级,44,中年,656,12,中频消费,65440.2,中等消费水平,5453.349999999999,单均价值高,102,Sheme
20c00e3f,52969.0,积分中等级,57,中年,1097,18,中频消费,60919.32,中等消费水平,3384.4066666666668,单均价值一般,231,DISSONA
20c021ee,32363.0,积分中等级,40,青年,724,13,中频消费,41772.0,中等消费水平,3213.230769230769,单均价值一般,390,LANCOME
20c03f5f,1688.0,积分低等级,37,青年,997,1,低频消费,1688.0,低消费水平,1688.0,单均价值一般,997,高美高柜
20c0ecc7,3138.05,积分低等级,41,中年,960,2,低频消费,3203.0,低消费水平,1601.5,单均价值一般,917,罗卡芙
20c26e1c,0.0,积分低等级,63,中年,895,1,低频消费,744.0,低消费水平,744.0,单均价值一般,895,玛戈隆特柜
20c6b4e5,1980.0,积分低等级,47,中年,24,1,低频消费,1980.0,低消费水平,1980.0,单均价值一般,24,YARLOKS（女鞋)
20c71169,2605.0,积分低等级,28,青年,1068,1,低频消费,2605.0,低消费水平,2605.0,单均价值一般,1068,植村秀柜
20c83b2d,6625.0,积分低等级,59,中年,1007,3,低频消费,6625.0,低消费水平,2208.3333333333335,单均价值一般,585,LA MER
20c8fd75,66962.0,积分中等级,50,中年,1089,15,中频消费,113867.9,高消费水平,7591.193333333333,单均价值高,63,WHAT FOR柜
20ca2d4c,1664.0,积分低等级,50,中年,599,1,低频消费,1664.0,低消费水平,1664.0,单均价值一般,599,MAX&CO柜
20d073e0,36597.0,积分中等级,47,中年,985,7,中频消费,36597.0,中等消费水平,5228.142857142857,单均价值高,370,雅诗兰黛ESTEE LAUDER
20d1687f,3496.0,积分低等级,42,中年,1011,3,低频消费,3710.0,低消费水平,1236.6666666666667,单均价值一般,647,倩碧柜
20d38c76,488.0,积分低等级,32,青年,222,2,低频消费,488.0,低消费水平,244.0,单均价值低,222,多样屋柜
20d393b6,4177.0,积分低等级,46,中年,502,4,低频消费,19811.0,中等消费水平,4952.75,单均价值高,117,HUGO BOSS柜
20d63d67,5778.0,积分低等级,49,中年,986,6,低频消费,5878.0,低消费水平,979.6666666666666,单均价值一般,535,Dior
20d8e0f6,773.0,积分低等级,44,中年,255,1,低频消费,3864.0,低消费水平,3864.0,单均价值高,255,瑞士钟表柜
20e2924d,1065.0,积分低等级,37,青年,324,1,低频消费,1065.0,低消费水平,1065.0,单均价值一般,324,Shu Uemura
20e4f8e1,1300.0,积分低等级,38,青年,223,5,低频消费,2044.8000000000002,低消费水平,408.96000000000004,单均价值低,40,AUPRES
20e5f2d9,5456.0,积分低等级,56,中年,647,5,低频消费,16540.4,中等消费水平,3308.0800000000004,单均价值一般,536,BY selvage 柜
20e6212b,15579.0,积分中等级,48,中年,557,8,中频消费,17824.5,中等消费水平,2228.0625,单均价值一般,101,ZUCZUG
20e6dd2e,2543.0,积分低等级,60,中年,896,3,低频消费,2543.0,低消费水平,847.6666666666666,单均价值一般,419,MARJA KURKI
20e83f39,5738.0,积分低等级,49,中年,660,2,低频消费,9134.0,低消费水平,4567.0,单均价值高,239,V-GRASS柜
20e86d05,17515.0,积分中等级,31,青年,1063,5,低频消费,17515.0,中等消费水平,3503.0,单均价值高,226,COACH 柜
20e916e2,46893.0,积分中等级,34,青年,1033,13,中频消费,53498.0,中等消费水平,4115.2307692307695,单均价值高,403,芭比波朗柜
20ea00a8,46274.0,积分中等级,51,中年,635,5,低频消费,46274.0,中等消费水平,9254.8,单均价值高,31,CARBANNIA（卡邦尼）
20eaed3d,5680.0,积分低等级,26,青年,1082,3,低频消费,5680.0,低消费水平,1893.3333333333333,单均价值一般,1076,MOGG PINK 柜
20eb7a4d,7384.0,积分低等级,34,青年,905,5,低频消费,13376.0,中等消费水平,2675.2,单均价值一般,304,Koradior
20ee272a,2292.0,积分低等级,40,青年,571,2,低频消费,2292.0,低消费水平,1146.0,单均价值一般,327,PANDORA柜
20ef9505,1670.0,积分低等级,49,中年,1064,1,低频消费,1670.0,低消费水平,1670.0,单均价值一般,403,兰芝柜
20f2fbbe,445.0,积分低等级,35,青年,1088,2,低频消费,445.0,低消费水平,222.5,单均价值低,919,植村秀(Shu Uemura)
20f3e076,91522.0,积分中等级,43,中年,275,11,中频消费,97377.58,中等消费水平,8852.507272727273,单均价值高,37,MaxMara 柜
20f57da2,3984.0,积分低等级,50,中年,1012,1,低频消费,3984.0,低消费水平,3984.0,单均价值高,1012,M.TSUBOMI柜
20f8e8cb,802.0,积分低等级,53,中年,966,1,低频消费,802.0,低消费水平,802.0,单均价值一般,966,思加图柜
20fa575a,1420.0,积分低等级,30,青年,342,2,低频消费,1420.0,低消费水平,710.0,单均价值一般,342,YSL
20fb3679,0.0,积分低等级,30,青年,181,1,低频消费,176.4,低消费水平,176.4,单均价值低,181,科颜氏(Kiehl's)
20ff1740,38.0,积分低等级,31,青年,120,1,低频消费,3790.0,低消费水平,3790.0,单均价值高,120,英皇珠宝
20ffbbd3,10266.0,积分中等级,34,青年,353,6,低频消费,11274.0,中等消费水平,1879.0,单均价值一般,39,OHUI/后
2101a328,24414.0,积分中等级,33,青年,974,3,低频消费,24414.0,中等消费水平,8138.0,单均价值高,169,VICUTU
2102eb21,10290.0,积分中等级,54,中年,998,16,中频消费,26514.43,中等消费水平,1657.151875,单均价值一般,15,家之良品柜
210807aa,10445.0,积分中等级,49,中年,1008,6,低频消费,10445.0,中等消费水平,1740.8333333333333,单均价值一般,369,SALUTE
2110ad97,0.0,积分低等级,35,青年,30,1,低频消费,290.0,低消费水平,290.0,单均价值低,30,赫莲娜(HR)
2110e700,9912.0,积分低等级,54,中年,512,4,低频消费,12352.0,中等消费水平,3088.0,单均价值一般,507,CAGLIARI EXCHANGE
2116116c,37429.0,积分中等级,40,青年,1047,8,中频消费,40670.0,中等消费水平,5083.75,单均价值高,152,吉弗雷 柜
2117909f,7216.0,积分低等级,47,中年,353,6,低频消费,13350.0,中等消费水平,2225.0,单均价值一般,122,CAGLIWASH
2118063d,12399.83,积分中等级,45,中年,1097,16,中频消费,103548.18,高消费水平,6471.76125,单均价值高,3,23区
